deliveryNoteId,produktName,menge,einheit,pos,beschreibung,id,created_date,updated_date,created_by_id,created_by,is_sample
"699c37105ee5a76ce2d86750","Taubenabwehr","1","Stk","1","Baustelle einrichten. 
Demontage des beschädigten vorhandenen Taubennetzes. 
Neues Taubennetz wie in den beiliegenden Skizzen rot markiert montieren.  
Baustelle räumen.
Entsorgen des alten Taubennetzes. ","699c371011bbfc9a962a76de","2026-02-23T11:16:32.711000","2026-02-24T21:09:18.990000","anonymous","anonymous","false"
"69922612a98ba3572535f213","Diverse Dienstleistungen","1","Stk","2","Einrichten der Baustelle
Seilaufbau für die Dauer der Arbeiten
Mangelhafte Abdichtungen wie in den beiliegenden Skizzen rot markiert mittels seilunterstützter Arbeit vorbehandeln und mittels Flüssigkunststoff abdichten
Seilabbau nach Fertigstellung der Arbeiten
Räumen der Baustelle","699226134da1fdd3622b0eb0","2026-02-15T20:01:23.203000","2026-02-20T09:02:24.704000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"69922612a98ba3572535f213","Taubenabwehr","1","Stk","1","Einrichten der Baustelle
Reinigung und Desinfektion des gesamten Balkons wie in den beiliegenden Skizzen grünmarkiert ersichtlich
Taubenabwehrspiralen wie in den beiliegenden Skizzen gelb markiert ersichtlich, mittels Steighilfen kleben
Räumen der Baustelle

Einrichten der Baustelle
Seilaufbau für die Dauer der Arbeiten
Die zu beklebenden Stellen reinigen
Taubenabwehrspitzen wie in den beiliegenden Skizzen rot markiert mittels seilunterstützter Arbeit kleben
Seilabbau nach Fertigstellung der Arbeiten
Räumen der Baustelle","69922612821d41475a003ba7","2026-02-15T20:01:22.966000","2026-02-20T09:02:24.398000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"LI-2026-00001","Mosoosentfernung","40","m²","2","Spezialisierte Entfernung von Moos und Algen","6978eb5ea6021fe3b167cfab","2026-01-27T16:44:14.776000","2026-01-27T16:44:14.776000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"LI-2026-00002","Außenfassadenreinigung","120","m²","1","Professionelle Reinigung der Außfassade","6978eb5ea6021fe3b167cfae","2026-01-27T16:44:14.776000","2026-01-27T16:44:14.776000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"LI-2026-00001","Dachkehrichtung","40","m²","1","Gründliche Reinigung und Kehrichtung des Daches","6978eb5ea6021fe3b167cfaa","2026-01-27T16:44:14.776000","2026-01-27T16:44:14.776000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"LI-2026-00003","Dachdeckerarbeiten","6","Std","2","Teilweiser Austausch beschädigter Dachziegel","6978eb5ea6021fe3b167cfb2","2026-01-27T16:44:14.776000","2026-01-27T16:44:14.776000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"LI-2026-00001","Dachrinnen Reinigung","1","Pauschal","3","Säuberung und Desinfektion der Dachrinnen","6978eb5ea6021fe3b167cfac","2026-01-27T16:44:14.776000","2026-01-27T16:44:14.776000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"LI-2026-00002","Taubenabwehr Installation","8","h","3","Installation von Taubenschutznetzen","6978eb5ea6021fe3b167cfb0","2026-01-27T16:44:14.776000","2026-01-27T16:44:14.776000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"LI-2026-00003","Rauchfangkopf Sanierung","1","Stk","3","Sanierung und Erneuerung des Rauchfangkopfes","6978eb5ea6021fe3b167cfb3","2026-01-27T16:44:14.776000","2026-01-27T16:44:14.776000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"LI-2026-00001","Verblechungen kontrollieren","2","h","4","Kontrolle aller Verblechungen auf Schäden","6978eb5ea6021fe3b167cfad","2026-01-27T16:44:14.776000","2026-01-27T16:44:14.776000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"LI-2026-00003","Verputzschadensanierung","25","m²","1","Reparatur beschädigter Verputzflächen","6978eb5ea6021fe3b167cfb1","2026-01-27T16:44:14.776000","2026-01-27T16:44:14.776000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"LI-2026-00002","Fensterreinigung","24","Stk","2","Innenseite und Außenseite aller Fenster","6978eb5ea6021fe3b167cfaf","2026-01-27T16:44:14.776000","2026-01-27T16:44:14.776000","6937375d862a164b90207fd4","info@oswebdev.com","false"
