einzelpreisNetto,produktId,einheit,rabattProzent,gesamtNetto,pos,offerId,produktName,ustSatz,menge,beschreibung,gesamtBrutto,id,created_date,updated_date,created_by_id,created_by,is_sample
"3380","","Stk","0","3380","1","69a81c8df74a00d30ef722fc","Taubenabwehr","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten.
Vorhandenes beschädigtes Taubennetz wie in der beiliegenden Skizze rot markiert, 
mittels seilunterstützter Arbeit wieder in Stand setzen.
Seilabbau nach Fertigstellung der Arbeiten. 
Baustelle räumen.

Für Schäden, die nach der Montage durch außergewöhnliche oder übermäßige Schneelast, Eisbildung, Laubansammlungen, Sturm oder sonstige äußere Einflüsse entstehen, übernehmen wir keine Haftung.
Die regelmäßige Kontrolle, Wartung sowie das Entfernen von Schnee, Eis und Laub obliegen ausschließlich dem Hauseigentümer bzw. der Hausverwaltung. Erforderliche Maßnahmen sind eigenständig zu beauftragen. ","4056","69a81c8ef3bd13a2606abaac","2026-03-04T11:50:38.161000","2026-03-18T11:57:15.709000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"7980","","Stk","0","7980","1","69a80791153b478f33ca3dc2","Verputzarbeiten","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten.
Notwendige Abdeckungen für die Dauer der Arbeiten.
Schadhafte Stellen im Lichthof wie in den beiliegenden Skizzen rot markiert, 
mittels seilunterstützter Arbeit abschlagen und neu verputzen.
Gesamten Lichthof wie in den beiliegenden Skizzen blau markiert,
mittels seilunterstützter Arbeit neu streichen. 
Abdeckungen nach Fertigstellung der Arbeiten wieder entfernen.
Seilabbau nach Durchführung der Arbeiten.
Räumen der Baustelle.
Entsorgung des Bauschuttes.
","9576","69a8079271f60b1de5f7b1da","2026-03-04T10:21:06.094000","2026-03-13T09:49:05.050000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"0","","Stk","0","0","1","69a80791869f8244c82066a6","Verputzarbeiten","20","1","Verputzarbeiten für Hungerbergstraße 10, 1190 Wien","0","69a8079136f94917ad5a0ff4","2026-03-04T10:21:05.720000","2026-03-04T10:21:05.720000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"650","695d3050a40ddc91ca0f5adf","Stk","0","650","4","69a7eebf7db41bd1dfdc0f11","Taubenabwehr","20","1","Kosten für die Taubennetz Montage Nachbarhof wie in den beiliegenden Skizzen blau markiert ersichtlich.","780","69a7f7371e06288eb4eb0c2a","2026-03-04T09:11:19.365000","2026-03-10T19:37:54.671000","anonymous","anonymous","false"
"3000","695d30438ba2c4f229340240","pauschal","0","3000","1","69a7f62b6c31803738b3abb2","Fenster Reinigung","20","1","Einrichten der Baustelle.
Seilaufbau für die Dauer der Arbeiten durchführen
Fenster Verglasungen samt Rahmen wie in den beiliegenden Skizzen rot markiert,
mittels seilunterstützter Arbeit an der Außenseite reinigen.
Seilabbau nach Durchführung der Arbeiten.
Räumen der Baustelle.","3600","69a7f6430862a6bfdb680186","2026-03-04T09:07:15.524000","2026-03-10T10:24:33.038000","anonymous","anonymous","false"
"50","695d3051c6eb600233a98847","Stk","0","50","2","69a7f31ac43ee6458ac9eb41","Diverse Dienstleistungen","20","1","Dach Inspektion mit Fotodokumentation.","60","69a7f3e585c7585a6eda95a7","2026-03-04T08:57:09.015000","2026-03-10T07:25:39.789000","anonymous","anonymous","false"
"400","695d3051c6eb600233a98847","Stk","0","400","1","69a7f31ac43ee6458ac9eb41","Diverse Dienstleistungen","20","1","Dachrinnenreinigung am gesamten Objekt durchführen.
Fallrohre kontrollieren und die Sinkkörbe falls vorhanden entleeren.
","480","69a7f32be805d7c3ed3ff6dd","2026-03-04T08:54:03.997000","2026-03-10T07:25:39.540000","anonymous","anonymous","false"
"2680","695d304b4bc574076261e3c4","pauschal","0","2680","2","69a7eebf7db41bd1dfdc0f11","Verputz Arbeiten","20","1","Einrichten der Baustelle.
Seilaufbau für die Dauer der Arbeiten durchführen.
Notwendige Abdeckarbeiten vornehmen
Schadhafte Stelle an dem Gesimse im Hof wie in den beiliegenden Skizzen grün markiert ersichtlich mittels seilunterstützter Arbeit abschlagen und neu verputzen.
Seilabbau nach Durchführung der Arbeiten vornehmen. 
Abdeckungen wieder entfernen.
Räumen der Baustelle. 
Entsorgung des Bauschuttes. 

Das Angebot bezieht auf das von Boden aus ersichtliche Schadensausmaß. ","3216","69a7f239e2875c3bcfbf59ef","2026-03-04T08:50:01.644000","2026-03-10T19:37:54.132000","anonymous","anonymous","false"
"4750","695d3050a40ddc91ca0f5adf","Stk","0","4750","2","69a7eebf7db41bd1dfdc0f11","Taubenabwehr","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten.
Taubennetz im Hof wie in den beiliegenden Skizzen rot markiert ersichtlich mittels seilunterstützter Arbeit senkrecht und waagerecht montieren. 
Seilabbau nach Fertigstellung der Arbeiten. 
Baustelle räumen.



Für Schäden, die nach der Montage durch außergewöhnliche oder übermäßige Schneelast, Eisbildung, Laubansammlungen, Sturm oder sonstige äußere Einflüsse entstehen, übernehmen wir keine Haftung.

Die regelmäßige Kontrolle, Wartung sowie das Entfernen von Schnee, Eis und Laub obliegen ausschließlich dem Hauseigentümer bzw. der Hausverwaltung. Erforderliche Maßnahmen sind eigenständig zu beauftragen.","5700","69a7f214f14ae99a29bf255d","2026-03-04T08:49:24.420000","2026-03-10T19:37:54.394000","anonymous","anonymous","false"
"1860","695d3052ef9bc1e664b52156","pauschal","0","1860","1","69a7eebf7db41bd1dfdc0f11","Reinigung Innenhof","20","1","Einrichten der Baustelle.
Seilaufbau für die Dauer der Arbeiten durchführen.
Den von Taubenkot stark verschmutzten Innenhof samt Fensterbretter mittels seilunterstützter Arbeit reinigen.
Seilabbau nach Durchführung der Arbeiten.
Räumen der Baustelle.
Entsorgung des Sondermülls.","2232","69a7f0aaa7ce247acce46e97","2026-03-04T08:43:22.808000","2026-03-10T19:37:53.856000","anonymous","anonymous","false"
"680","695d3051c6eb600233a98847","Stk","0","680","2","69a7edb2f9af8250d6688d59","Diverse Dienstleistungen","20","1","Beantragung und Errichtung einer Parkraumsperre für die Dauer der Arbeiten.

Sollte sich im Zuge der Verhandlung zur Parkraumsperre herausstellen, dass weitere Maßnahmen erforderlich sind (Teilgerüst, Passagengerüst o. Ä) erfolgt ein gesondertes Angebot","816","69a7edcb0815e2e2da58d2c9","2026-03-04T08:31:07.208000","2026-03-13T09:40:39.326000","anonymous","anonymous","false"
"4250","","Stk","0","4250","1","69a7edb2f9af8250d6688d59","Verputzarbeiten","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten.
Notwendige Abdeckungen für die Dauer der Arbeiten durchführen. 
Schadhafte Stellen am straßenseitigen Gesimse wie in den beiliegenden Skizzen rot markiert, 
mittels seilunterstützter Arbeit abschlagen und neu verputzen. 
Schadhafte Stellen an der straßenseitigen Fassade wie in den beiliegenden Skizzen orange markiert, 
mittels seilunterstützter Arbeit abschlagen und neu verputzen. 
Verputze Stellen farblich angleichen. 
Abdeckungen nach Fertigstellung der Arbeiten wieder entfernen. 
Seilabbau nach Fertigstellung der Arbeiten. 
Baustelle räumen. 
Entsorgen des Bauschuttes. 

","5100","69a7edb26b0f7ff89743ab1f","2026-03-04T08:30:42.512000","2026-03-13T09:40:39.085000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"1680","","Stk","0","1680","1","69a7ded46f2465fb3d0bbf7f","Taubenabwehr","20","1","Einrichten der Baustelle.
Demontage der alten Taubenspitzen.
Die zu beklebenden Stellen reinigen.
Taubenabwehrspitzen wie in den beiliegenden Skizzen rot markiert,
mittels Steighilfen kleben.
Räumen der Baustelle.
Entsorgen der alten Taubenspitzen.","2016","69a7ded4983ca9a67b818558","2026-03-04T07:27:16.316000","2026-03-10T06:53:54.198000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"0","","Stk","0","0","1","69a7d319d718645b683e9038","Verputzarbeiten","20","1","Verputzarbeiten für Sechshauser Straße 74, 1150 Wien","0","69a7dbfc28b15175c02a33a6","2026-03-04T07:15:08.651000","2026-03-04T07:20:43.452000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"2370","","Stk","0","2370","1","69a7d9b417c7f7ce9dc4685e","Taubenabwehr","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten.
Vorhandenes beschädigtes Taubennetz wie in der beiliegenden Skizze rot markiert, 
mittels seilunterstützter Arbeit wieder in Stand setzen.
Seilabbau nach Fertigstellung der Arbeiten. 
Baustelle räumen.

Für Schäden, die nach der Montage durch außergewöhnliche oder übermäßige Schneelast, Eisbildung, Laubansammlungen, Sturm oder sonstige äußere Einflüsse entstehen, übernehmen wir keine Haftung.
Die regelmäßige Kontrolle, Wartung sowie das Entfernen von Schnee, Eis und Laub obliegen ausschließlich dem Hauseigentümer bzw. der Hausverwaltung. Erforderliche Maßnahmen sind eigenständig zu beauftragen. ","2844","69a7d9b40459a0e22069d0b8","2026-03-04T07:05:24.356000","2026-03-11T12:55:36.678000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"6450","","Stk","0","6450","1","69a7d4f7fdfde53d6eefa91e","Verputzarbeiten","20","1","Einrichten der Baustelle.
Notwendige Abdeckungen vornehmen.
Seilaufbau für die Dauer der Arbeiten. 
Schadhafte Stellen an dem hofseitigen Kordon Gesimse wie in den beiliegenden Skizzen orange markiert,
mittels seilunterstützter Arbeit abschlagen und neu verputzen.
Schadhafte Stellen an der hofseitigen Fassade wie in den beiliegenden Skizzen rot markiert, 
mittels seilunterstützter Arbeit abschlagen und neu verputzen.
Verputzte Stellen farblich angleichen.
Seilabbau nach Fertigstellung der Arbeiten. 
Abdeckungen wieder entfernen.
Räumen der Baustelle.
Entsorgen des Bauschutts.","7740","69a7d4f7bce6a4a1959c4bc6","2026-03-04T06:45:11.885000","2026-03-13T09:33:26.465000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"4860","695d3050a40ddc91ca0f5adf","Stk","0","4860","1","69a7d1b133cd6796eca02b39","Taubenabwehr","20","1","Einrichten der Baustelle
Seilaufbau für die Dauer der Arbeiten durchführen
Vorhandenes, beschädigtes Taubennetz, im Hof wie in den beiliegenden Skizzen rot markiert ersichtlich, mittels seilunterstützter Arbeit demontieren und ein neues Taubennetz montieren
Seilabbau nach Durchführung der Arbeiten
Räumen der Baustelle
Entsorgung des beschädigten Taubennetzes","5832","69a7d22b6288ab4b3789596c","2026-03-04T06:33:15.668000","2026-03-04T06:51:52.870000","anonymous","anonymous","false"
"0","","Stk","0","0","1","69a531b904ab30566863f0dc","Taubenabwehr","20","1","Taubenabwehr für Obere Amtshausgasse 23-25, 1050 Wien","0","69a7ce61e784ea224146f4a0","2026-03-04T06:17:05.989000","2026-03-04T06:17:05.989000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"2850","695d3050a40ddc91ca0f5adf","Stk","0","2850","1","69a547498197d9509aee8fbb","Taubenabwehr","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten.
Taubennetz über den Hof wie in den beiliegenden Skizzen rot markiert ersichtlich mittels seilunterstützter Arbeit montieren. 
Seilabbau nach Fertigstellung der Arbeiten. 
Baustelle räumen.

Bei einer Beauftragung dieser Arbeiten benötigen wir die Erlaubnis der Nachbarliegenschaft  Erdbergstraße 69, da das Taubennetz an der Nachbarliegenschaft befestigt wird.

Für Schäden, die nach der Montage durch außergewöhnliche oder übermäßige Schneelast, Eisbildung, Laubansammlungen, Sturm oder sonstige äußere Einflüsse entstehen, übernehmen wir keine Haftung.

Die regelmäßige Kontrolle, Wartung sowie das Entfernen von Schnee, Eis und Laub obliegen ausschließlich dem Hauseigentümer bzw. der Hausverwaltung. Erforderliche Maßnahmen sind eigenständig zu beauftragen.","3420","69a5950a485f1e4a17624d4a","2026-03-02T13:47:54.851000","2026-03-02T13:55:09.688000","anonymous","anonymous","false"
"3860","695d304b4bc574076261e3c4","pauschal","0","3860","3","69a57daf555f69491152c58e","Verputz Arbeiten","20","1","Einrichten der Baustelle.
Seilaufbau für die Dauer der Arbeiten durchführen.
Notwendige Abdeckarbeiten vornehmen.
Schadhafte Stellen an der Fassade im rechten Hof wie in den beiliegenden Skizzen gelb markiert ersichtlich mittels seilunterstützter Arbeit abschlagen und neu verputzen. 
Seilabbau nach Durchführung der Arbeiten vornehmen. 
Abdeckungen wieder entfernen.
Räumen der Baustelle. 
Entsorgung des Bauschuttes. 

Das Angebot bezieht auf das von Boden aus ersichtliche Schadensausmaß. 

Wir gehen davon aus dass die Schadensursache bereits behoben wurde und das Mauerwerk bereits wieder aufgetrocknet ist.
Im Fall des neuerlichen Auftretens der Schäden aufgrund nicht behobener Ursachen ist jede Form der Haftung und Gewährleistung ausgeschlossen.","4632","69a59249e6687da4c78d905e","2026-03-02T13:36:09.657000","2026-03-03T20:40:04.158000","anonymous","anonymous","false"
"5680","695d3050a40ddc91ca0f5adf","Stk","0","5680","2","69a57daf555f69491152c58e","Taubenabwehr","20","1","Taubennetzmontage rechter Hof
Einrichten der Baustelle.
Seilaufbau für die Dauer der Arbeiten durchführen.
Taubennetz waagerecht und senkrecht über den rechten Hof wie in den beiliegenden Skizzen blau markiert ersichtlich mittels seilunterstützter Arbeit montieren.
Seilabbau nach Durchführung der Arbeiten.
Räumen der Baustelle.

Für Schäden, die nach der Montage durch außergewöhnliche oder übermäßige Schneelast, Eisbildung, Laubansammlungen, Sturm oder sonstige äußere Einflüsse entstehen, übernehmen wir keine Haftung.

Die regelmäßige Kontrolle, Wartung sowie das Entfernen von Schnee, Eis und Laub obliegen ausschließlich dem Hauseigentümer bzw. der Hausverwaltung. Erforderliche Maßnahmen sind eigenständig zu beauftragen.
","6816","69a5924951c70db3540585a0","2026-03-02T13:36:09.423000","2026-03-03T20:40:03.871000","anonymous","anonymous","false"
"6440","695d3050a40ddc91ca0f5adf","Stk","0","6440","1","69a57daf555f69491152c58e","Taubenabwehr","20","1","Taubennetzmontage linker Hof.
Einrichten der Baustelle.
Seilaufbau für die Dauer der Arbeiten durchführen.
Bewuchs an der Fassade wie in den beiliegenden Skizzen grün markiert ersichtlich mittels seilunterstützter Arbeit zurückschneiden.
Taubennetz über den linken Hof waagerecht und senkrecht wie in den beiliegenden Skizzen rot markiert ersichtlich mittels seilunterstützter Arbeit montieren.
Seilabbau nach Durchführung der Arbeiten.
Räumen der Baustelle.
Entsorgung des Grünschnittes.

Da es Vorkommen kann, das Stränge die wieder rückläufig zur Fassade gehen durchtrennt werden, können wir keine Haftung für abgestorbene Äste, Stränge oder Bewuchsflächen übernehmen.","7728","69a588b3b652561caf4b707c","2026-03-02T12:55:15.587000","2026-03-03T20:40:03.539000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"790","695d304b4bc574076261e3c4","pauschal","0","790","2","69a55781770a21d1e4890218","Verputz Arbeiten","20","1","

Einrichten der Baustelle
Notwendige Abdeckungen für die Dauer der Arbeiten durchführen.
Schadhafte Stellen an der Fassade wie in der beiliegenden Skizze, blau markiert, ersichtlich, abschlagen und neu verputzen.
Abdeckungen nach Fertigstellung der Arbeiten wieder entfernen.
Räumen der Baustelle.
Entsorgung des Bauschuttes.

","948","69a5595a29cff2473591a702","2026-03-02T09:33:14.670000","2026-03-02T09:55:47.377000","anonymous","anonymous","false"
"740","","Stk","0","740","1","69a55781770a21d1e4890218","Taubenabwehr","20","1","

Baustelle einrichten. 
Reinigung der von Taubenkot verunreinigten Stellen im Bereich des Fensters.
Taubennetz vor den Fenster wie in den beiliegenden Skizzen rot markiert montieren. 
Baustelle räumen.","888","69a55782d386cf06569b96ae","2026-03-02T09:25:22.084000","2026-03-02T09:55:47.134000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"4800","695d3050a40ddc91ca0f5adf","Stk","0","4800","2","69a52b8a8a840a03ab236257","Taubenabwehr","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten.
Vorhandenes beschädigtes Taubennetz wie in der beiliegenden Skizze blau markiert, 
mittels seilunterstützter Arbeit wieder in Stand setzen.
Seilabbau nach Fertigstellung der Arbeiten. 
Baustelle räumen ","5760","69a52c878422546e0eb58f91","2026-03-02T06:21:59.893000","2026-03-02T06:33:53.710000","anonymous","anonymous","false"
"4600","695d3050a40ddc91ca0f5adf","Stk","0","4600","1","69a52b8a8a840a03ab236257","Taubenabwehr","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten.
Vorhandenes beschädigtes Taubennetz wie in der beiliegenden Skizze rot markiert, 
 wieder in Stand setzen.
Baustelle räumen ","5520","69a52c22744d02073f69cb18","2026-03-02T06:20:18.780000","2026-03-02T06:33:53.449000","anonymous","anonymous","false"
"1760","","Stk","0","1760","1","699feb5cce2a2311d5aa3d26","Taubenabwehr","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten.
Vorhandenes beschädigtes Taubennetz wie in der beiliegenden Skizze rot markiert, 
mittels seilunterstützter Arbeit wieder in Stand setzen.
Seilabbau nach Fertigstellung der Arbeiten. 
Baustelle räumen ","2112","699feb5cd20600500d3050f9","2026-02-26T06:42:36.397000","2026-03-11T12:18:56.878000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"2150","","Stk","0","2150","1","699fe5e7ac6fc687aed7c4ac","Taubenabwehr","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten. 
Vorhandenes beschädigtes Taubennetz wie in der beiliegenden Skizze rot markiert, 
mittels seilunterstützter Arbeit wieder in Stand setzen. 
Seilabbau nach Fertigstellung der Arbeiten.
Baustelle räumen. ","2580","699fe5e71ecdb21936327240","2026-02-26T06:19:19.286000","2026-03-11T11:50:14.634000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"6880","","Stk","0","6880","1","699f0d6060eed39344d25593","Taubenabwehr","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten.  
Taubennetz wie in der beiliegenden Skizze rot markiert, 
mittels seilunterstützter Arbeit montieren. 
Seilabbau nach Fertigstellung der Arbeiten. 
Baustelle räumen. 
 


Für Schäden, die nach der Montage durch außergewöhnliche oder übermäßige Schneelast, Eisbildung, Laubansammlungen, Sturm oder sonstige äußere Einflüsse entstehen, übernehmen wir keine Haftung.
Die regelmäßige Kontrolle, Wartung sowie das Entfernen von Schnee, Eis und Laub obliegen ausschließlich dem Hauseigentümer bzw. der Hausverwaltung. Erforderliche Maßnahmen sind eigenständig zu beauftragen. ","8256","699f0d60437bccf12548f6ef","2026-02-25T14:55:28.192000","2026-03-04T13:45:10.627000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"2190","","Stk","0","2190","1","699ef8dab58bceba212d7b31","Taubenabwehr","20","1","Baustelle einrichten. 
Seilaufbau für die Dauer der Arbeiten durchführen. 
Taubennetz im großen Hof (ca. 65m²) wie in den beiliegenden Skizzen grün markiert, 
mittels seilunterstützter Arbeit montieren. 
Seilabbau nach Fertigstellung der Arbeiten. 
Baustelle räumen. ","2628","699ef8dad187f975adae4480","2026-02-25T13:27:54.176000","2026-03-13T10:57:04.154000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
